Date,Open,High,Low,Close
2020-06-11 11:00:00,309.1,309.56,307.16,308.01
2020-06-11 12:00:00,308.01,308.02,303.75,304.23
2020-06-11 13:00:00,304.23,305.87,303.77,304.73
2020-06-11 14:00:00,304.73,304.77,301.06,301.77
2020-06-11 15:00:00,301.77,302.89,300.01,300.62
2020-06-12 09:00:00,308.24,309.08,307.06,307.62
2020-06-12 10:00:00,307.62,308.42,302.67,302.7
2020-06-12 11:00:00,302.7,305.28,300.47,305.22
2020-06-12 12:00:00,305.22,305.89,302.59,303.78
2020-06-12 13:00:00,303.78,304.01,298.74,298.88
2020-06-12 14:00:00,298.88,302.65,298.6,302.1
2020-06-12 15:00:00,302.1,305.07,301.06,304.28
